time/time_elapsed,time/iterations,time/fps,time/total_timesteps,reward,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/loss,train/clip_range,train/entropy_loss,train/std,train/value_loss,train/n_updates,train/approx_kl
1367,53,46,63600,2197.659264701468,0.001,-7.044755238840109e-05,0.0,0.2708545923233032,447213.5,0.2,-1.459459087252617,1.041401982307434,568471.3262369792,520,3.2806395e-06
1392,54,46,64800,2404.146779135718,0.001,-1.616228080002872e-05,0.0,0.1419491171836853,63820.328125,0.2,-1.4593796769777934,1.0410856008529663,364275.7705485026,530,6.119907e-07
1418,55,46,66000,1920.8707107889938,0.001,-7.108698175139668e-05,0.0,0.14928042888641357,58584.45703125,0.2,-1.4591847876707713,1.0409860610961914,323012.23216959636,540,2.628366e-06
1445,56,46,67200,327.0121109258418,0.001,-3.151018347292145e-05,0.0,0.0942259430885315,178510.859375,0.2,-1.4591297686100007,1.0410423278808594,520942.10842285154,550,1.3035038e-06
1471,57,46,68400,374.3044289267312,0.001,-9.516517082633161e-05,0.0,0.05553853511810303,238527.59375,0.2,-1.4591844672958056,1.0411064624786377,657330.4731119792,560,8.143484e-06
1496,58,46,69600,273.64455525538744,0.001,-7.302888714231978e-05,0.0,0.21848994493484497,295774.6875,0.2,-1.4592004870374997,1.0410592555999756,411949.67084960936,570,6.527652e-06
1522,59,46,70800,475.61591017745195,0.001,-1.554676602493569e-05,0.0,0.09193509817123413,364790.84375,0.2,-1.4589644814531009,1.0406924486160278,349608.48182779946,580,2.6817122e-07
1548,60,46,72000,254.7405855278689,0.001,-6.673580415705871e-05,0.0,0.13323301076889038,152512.15625,0.2,-1.458739353219668,1.0404045581817627,208482.42298177083,590,7.0792935e-06
1575,61,46,73200,765.0645985323326,0.001,-0.0003671549290949002,0.0,0.10889607667922974,169900.359375,0.2,-1.458363542954127,1.0399487018585205,473970.71024576825,600,5.5131513e-05
1601,62,46,74400,1006.0953503313984,0.001,-0.00024009013326108756,0.0,0.19327831268310547,143018.75,0.2,-1.457945700486501,1.039547085762024,372387.92180989584,610,3.233214e-05
1627,63,46,75600,1033.001448058233,0.001,-0.00017092771310588394,0.0,0.22581350803375244,328052.875,0.2,-1.4576556861400605,1.0393049716949463,604233.1173502604,620,1.8617013e-05
1652,64,46,76800,1020.2340901710425,0.001,-4.478722966744601e-05,0.0,0.2963642477989197,220298.171875,0.2,-1.4573752557237942,1.039109706878662,583710.7737792969,630,7.462551e-06
1679,65,46,78000,1185.427113565007,0.001,-0.00013789100548363317,0.0,0.2276628613471985,16580.265625,0.2,-1.456896465520064,1.0380809307098389,210724.66989746093,640,3.4238845e-05
1705,66,46,79200,1572.8466359676477,0.001,-3.3198435213765976e-05,0.0,0.20219701528549194,135521.390625,0.2,-1.4562510713934897,1.0380500555038452,756974.818359375,650,1.3912221e-06
1731,67,46,80400,2230.7118845641917,0.001,-2.5990694516527432e-05,0.0,0.27559733390808105,171075.46875,0.2,-1.4565224811434745,1.0386782884597778,307107.27944335935,660,5.21188e-06
1756,68,46,81600,2719.967741424598,0.001,-0.0003542818404251043,0.0,0.26279282569885254,435722.9375,0.2,-1.4567950015266737,1.038634181022644,376923.03975423175,670,3.7253747e-05
1781,69,46,82800,2895.4162379348386,0.001,-0.0002939333499012135,0.0,0.33540070056915283,9886.716796875,0.2,-1.457845714688301,1.0407681465148926,39002.99715983073,680,0.00016119638
1807,70,46,84000,2658.4304731086986,0.001,-9.975894196425824e-05,0.0,0.05352145433425903,13542.3134765625,0.2,-1.4591911728183429,1.0412367582321167,262726.6214152018,690,2.5724768e-05
1832,71,46,85200,2238.563487135336,0.001,-0.00012399440544882772,0.0,0.006702244281768799,63901.03515625,0.2,-1.4590217540661494,1.0404620170593262,510006.2771484375,700,5.076344e-05
1857,72,46,86400,1896.1077459743722,0.001,-0.0015590619729490532,0.0017499999608844518,0.049894511699676514,9291.8193359375,0.2,-1.454728202521801,1.031890869140625,149678.86658528645,710,0.0017440595
1883,73,46,87600,1795.5533738517906,0.001,1.527464087833034e-05,0.0,0.05150395631790161,249954.09375,0.2,-1.449649153649807,1.0305589437484741,636245.9170247396,720,3.7087993e-06
1908,74,46,88800,2054.499160918102,0.001,-0.00012799494479345992,0.0,0.3375322222709656,200855.0,0.2,-1.4491913472612699,1.0305812358856201,196679.4955485026,730,0.0001397471
1933,75,46,90000,2614.384182134834,0.001,-3.15675644377326e-05,0.0,0.07067984342575073,592020.875,0.2,-1.4491235678394636,1.0305670499801636,446641.69576822914,740,4.9055117e-05
1959,76,46,91200,3186.3276362880392,0.001,-0.0008341297141887472,0.00016666666294137638,0.030764222145080566,17095.2578125,0.2,-1.4491793865958849,1.030771255493164,217450.15842285156,750,0.0007592154
1983,77,46,92400,3502.0024537281297,0.001,-5.6058262682986044e-05,0.0,0.14825689792633057,114100.0390625,0.2,-1.4489145179589589,1.030307650566101,348347.0908040365,760,0.0001261278
2009,78,46,93600,242.59610323290252,0.001,-0.0018585221437794693,0.007499999832361937,0.7133105993270874,4599.623046875,0.2,-1.4480233386158943,1.025512456893921,18109.769364420572,770,0.0016040349
2035,79,46,94800,708.2755456447818,0.001,-0.0003103721160537883,0.0,0.15344154834747314,172656.140625,0.2,-1.4425207157929738,1.022896647453308,157390.95778808594,780,6.7344554e-05
2060,80,46,96000,1005.8114579364833,0.001,-0.002200501354658931,0.004083333242063721,0.12658745050430298,478380.875,0.2,-1.441614031791687,1.0229198932647705,383037.75810546876,790,0.001961735
2085,81,46,97200,1380.5353677002377,0.001,-0.00034278286989228854,0.0,0.04544490575790405,39779.16796875,0.2,-1.4408568690220516,1.0210356712341309,361394.94436035154,800,0.00041374247
2112,82,46,98400,2028.5694704970845,0.001,-0.003125104901778138,0.026999999256804585,0.06327307224273682,9740.27734375,0.2,-1.4376480162143708,1.0168707370758057,17019.315661621094,810,0.0028211735
