time/total_timesteps,reward,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/std,train/learning_rate,train/loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/entropy_loss,train/approx_kl
63600,10035.956128059861,1324,48,53,520,4303.754002380371,0.8355702757835388,0.001,2320.48974609375,-0.001081664587669362,0.0064166665077209474,0.8563207685947418,0.2,-1.2516475712259612,0.0016354456
64800,511.27596855915874,1348,48,54,530,20181.9298924764,0.8169853687286377,0.001,6679.853515625,-0.002821738257384217,0.010999999723086755,0.5093699097633362,0.2,-1.2292352666457493,0.0033402983
66000,1367.885053915561,1374,48,55,540,16170.902658081055,0.8022475242614746,0.001,7789.87109375,-0.0024310515838654955,0.004999999888241291,0.4789864420890808,0.2,-1.206242557366689,0.0025981406
67200,2112.8125282654364,1399,48,56,550,173167.58107706707,0.8051446676254272,0.001,17348.673828125,-0.0008640029459325849,8.333333147068819e-05,-0.06090188026428223,0.2,-1.1998011603951455,0.0006000307
68400,2821.0230442930247,1423,48,57,560,18693.621177164714,0.8031687140464783,0.001,6212.99365234375,-0.0016303013970139853,0.014749999639267724,0.23412322998046875,0.2,-1.2008906910816828,0.0035642881
69600,3390.0565519489105,1447,48,58,570,3103.0681869506834,0.8085106015205383,0.001,1666.7435302734375,-0.0010589064103951385,0.0008333333147068819,0.7054858505725861,0.2,-1.2048227081696192,0.0014018562
70800,3956.592659418577,1472,48,59,580,11668.433387247722,0.8070991635322571,0.001,2331.23876953125,-0.0020106342634183725,0.01866666617182394,0.40924072265625,0.2,-1.205592116713524,0.005569993
72000,4631.9523095166305,1498,48,60,590,14294.364297485352,0.7986173033714294,0.001,4699.43798828125,-0.0022226536968256976,0.009083333130305012,0.32868969440460205,0.2,-1.197849689424038,0.0023614895
73200,5301.012567870178,1524,48,61,600,188092.90827636718,0.798101544380188,0.001,44298.66015625,-0.00041065652374214776,0.00024999999441206456,-0.007158994674682617,0.2,-1.193546439210574,0.00033873925
74400,6052.520921295806,1548,48,62,610,16980.237223307293,0.7950273156166077,0.001,8370.6474609375,-0.0046628159272955085,0.05808333164701859,0.2056504487991333,0.2,-1.191483031709989,0.006306862
75600,6760.4658060817455,1572,48,63,620,14986.281422932943,0.7956901788711548,0.001,6929.6962890625,-0.0018113468571894682,0.012583333036551873,0.37562549114227295,0.2,-1.192530513803164,0.0025796285
76800,7389.997742548461,1597,48,64,630,15182.722658284505,0.7977733612060547,0.001,13960.07421875,-0.002754464462878331,0.02791666598059237,0.40648913383483887,0.2,-1.1940182288487753,0.003836017
78000,8097.273105322792,1623,48,65,640,18149.27441813151,0.7908607721328735,0.001,14841.4248046875,-0.00116858496204774,0.00733333316942056,0.372020423412323,0.2,-1.1894224489728609,0.0021692808
79200,8743.45948418567,1647,48,66,650,23357.72475382487,0.7875062227249146,0.001,4367.1748046875,-0.0008655239241159814,0.003999999910593033,0.1559811234474182,0.2,-1.182193073630333,0.0013149908
80400,9406.822653900197,1672,48,67,660,10033.346986897786,0.7891080975532532,0.001,11607.3232421875,-0.003538040682486206,0.04274999882715444,0.15218615531921387,0.2,-1.1814458236098289,0.0077388845
81600,10066.82930147962,1696,48,68,670,9172.418665059407,0.7916742563247681,0.001,1405.1121826171875,-0.0034656827552201636,0.03041666590919097,0.35058075189590454,0.2,-1.1865803862611453,0.0054678866
82800,10711.351741037786,1720,48,69,680,2092.180621592204,0.7826952934265137,0.001,1113.6011962890625,-0.004307868000370337,0.022583332766468327,0.7566394358873367,0.2,-1.1758505538105966,0.003812616
84000,11363.444235478451,1744,48,70,690,1434.2175710042318,0.7580899596214294,0.001,579.0687866210938,-0.004254427971076424,0.022999999361733595,0.8279692977666855,0.2,-1.1574820816516875,0.004816526
85200,12027.67747926307,1768,48,71,700,1206.4601491292317,0.7573513388633728,0.001,506.3287658691406,-0.001171036453372043,0.005499999861543378,0.7897727787494659,0.2,-1.1434186115860938,0.0020785837
86400,443.06615062798005,1793,48,72,710,938.4904104868571,0.7445002198219299,0.001,356.19873046875,-0.008365104627017101,0.05866666502940158,0.8574860692024231,0.2,-1.1273252204060555,0.0086017735
87600,916.7570909813026,1819,48,73,720,12988.380901845296,0.7396992444992065,0.001,23847.337890625,-0.0008193364420544451,0.001416666635001699,0.1321650743484497,0.2,-1.121110737323761,0.0008714067
